x,market value,datum_mw,verein,age,wappen,market_value,date
1512687600000,€125k,"Dec 8, 2017",Dinamo Tbilisi,16,https://tmssl.akamaized.net//images/wappen/profil/663.png?lm=1474921564,125000.0,2017-12-07 23:00:00
1523224800000,€350k,"Apr 9, 2018",FC Rustavi,17,https://tmssl.akamaized.net//images/wappen/profil/1799.png?lm=1552479737,350000.0,2018-04-08 22:00:00
1535493600000,€400k,"Aug 29, 2018",FC Rustavi,17,,400000.0,2018-08-28 22:00:00
1546642800000,€350k,"Jan 5, 2019",FC Rustavi,17,,350000.0,2019-01-04 23:00:00
1556056800000,€500k,"Apr 24, 2019",Lokomotiv Moscow,18,https://tmssl.akamaized.net//images/wappen/profil/932.png?lm=1486195738,500000.0,2019-04-23 22:00:00
1560463200000,€900k,"Jun 14, 2019",Lokomotiv Moscow,18,,900000.0,2019-06-13 22:00:00
1568066400000,€1.50m,"Sep 10, 2019",Rubin Kazan,18,https://tmssl.akamaized.net//images/wappen/profil/2698.png?lm=1561987986,150000000.0,2019-09-09 22:00:00
1577055600000,€2.50m,"Dec 23, 2019",Rubin Kazan,18,,250000000.0,2019-12-22 23:00:00
1586296800000,€2.30m,"Apr 8, 2020",Rubin Kazan,19,,230000000.0,2020-04-07 22:00:00
1595973600000,€4.50m,"Jul 29, 2020",Rubin Kazan,19,,450000000.0,2020-07-28 22:00:00
1603058400000,€7.50m,"Oct 19, 2020",Rubin Kazan,19,,750000000.0,2020-10-18 22:00:00
1609196400000,€10.00m,"Dec 29, 2020",Rubin Kazan,19,,1000000000.0,2020-12-28 23:00:00
1618264800000,€15.00m,"Apr 13, 2021",Rubin Kazan,20,,1500000000.0,2021-04-12 22:00:00
1622584800000,€18.00m,"Jun 2, 2021",Rubin Kazan,20,,1800000000.0,2021-06-01 22:00:00
1640732400000,€16.00m,"Dec 29, 2021",Rubin Kazan,20,,1600000000.0,2021-12-28 23:00:00
1651701600000,€15.00m,"May 5, 2022",Dinamo Batumi,21,https://tmssl.akamaized.net//images/wappen/profil/11344.png?lm=1420654425,1500000000.0,2022-05-04 22:00:00
1664229600000,€35.00m,"Sep 27, 2022",SSC Napoli,21,https://tmssl.akamaized.net//images/wappen/profil/6195_1720450885.png?lm=1720450885,3500000000.0,2022-09-26 22:00:00
1668121200000,€60.00m,"Nov 11, 2022",SSC Napoli,21,,6000000000.0,2022-11-10 23:00:00
1679353200000,€85.00m,"Mar 21, 2023",SSC Napoli,22,,8500000000.0,2023-03-20 23:00:00
1686780000000,€85.00m,"Jun 15, 2023",SSC Napoli,22,,8500000000.0,2023-06-14 22:00:00
1703026800000,€80.00m,"Dec 20, 2023",SSC Napoli,22,,8000000000.0,2023-12-19 23:00:00
1717538400000,€80.00m,"Jun 5, 2024",SSC Napoli,23,https://tmssl.akamaized.net//images/wappen/profil/6195_1720450885.png?lm=1720450885,8000000000.0,2024-06-04 22:00:00
